Date ,Open,High,Low,Close,Volume
01-Nov-10,"1,052.05","1,066.40","1,049.10","1,053.40","5,73,974"
02-Nov-10,"1,055.00","1,060.00","1,043.70","1,049.45","7,82,889"
03-Nov-10,"1,050.90","1,079.00","1,048.40","1,052.80","11,08,939"
04-Nov-10,"1,062.00","1,078.60","1,061.50","1,069.15","8,58,720"
05-Nov-10,"1,082.90","1,083.90","1,075.35","1,077.75","1,79,483"
08-Nov-10,"1,080.00","1,082.40","1,062.10","1,068.15","11,24,293"
09-Nov-10,"1,073.90","1,098.70","1,068.50","1,091.10","17,52,043"
10-Nov-10,"1,092.25","1,108.00","1,086.10","1,092.30","7,70,112"
11-Nov-10,"1,090.00","1,090.00","1,058.25","1,064.75","9,63,048"
12-Nov-10,"1,060.00","1,069.90","1,048.20","1,055.90","9,01,165"
15-Nov-10,"1,065.00","1,079.85","1,053.00","1,066.00","6,94,698"
16-Nov-10,"1,066.00","1,066.40","1,042.20","1,048.90","10,89,038"
18-Nov-10,"1,072.00","1,072.00","1,040.00","1,042.80","13,82,580"
19-Nov-10,"1,044.90","1,049.00","1,006.00","1,015.40","10,86,326"
22-Nov-10,"1,016.00","1,043.00","1,011.50","1,039.10","11,10,618"
23-Nov-10,"1,034.00","1,045.00","1,012.40","1,030.05","8,42,224"
24-Nov-10,"1,025.00","1,034.50",998.95,"1,004.75","15,04,304"
25-Nov-10,"1,010.05","1,041.90","1,007.10","1,021.80","29,27,503"
26-Nov-10,"1,025.00","1,054.00","1,025.00","1,047.25","18,08,913"
29-Nov-10,"1,055.00","1,078.50","1,050.25","1,071.30","22,59,446"
30-Nov-10,"1,060.50","1,086.05","1,053.10","1,076.00","24,04,204"
01-Dec-10,"1,064.00","1,093.20","1,064.00","1,081.90","18,88,016"
02-Dec-10,"1,091.00","1,099.20","1,075.05","1,095.80","20,47,858"
03-Dec-10,"1,093.05","1,113.00","1,091.15","1,097.35","10,15,056"
06-Dec-10,"1,100.00","1,110.00","1,095.30","1,101.70","9,65,477"
07-Dec-10,"1,100.00","1,100.00","1,082.10","1,087.50","10,79,162"
08-Dec-10,"1,090.95","1,092.95","1,071.25","1,079.15","9,92,066"
09-Dec-10,"1,083.70","1,097.30","1,068.10","1,072.60","12,89,951"
10-Dec-10,"1,067.00","1,083.85","1,057.00","1,074.90","11,22,812"
13-Dec-10,"1,071.00","1,080.70","1,048.40","1,076.10","10,57,533"
14-Dec-10,"1,073.20","1,089.60","1,064.15","1,080.95","13,07,670"
